t,wall,phase,label,cmd1,cmd2,cb1,cb2,bs1,bs2,a1,a2,ba1,ba2,v_batt,v_int,v_5v,t_mcu,ff
1.3411,2026-09-25T14:44:56.483,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.021,30.0,0.0
1.3512,2026-09-25T14:44:56.494,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.021,30.0,0.0
1.3614,2026-09-25T14:44:56.504,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.021,30.0,0.0
1.3715,2026-09-25T14:44:56.514,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.021,30.0,0.0
1.3816,2026-09-25T14:44:56.524,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.021,30.0,0.0
1.3918,2026-09-25T14:44:56.534,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.021,30.0,0.0
1.4019,2026-09-25T14:44:56.544,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.021,30.0,0.0
1.412,2026-09-25T14:44:56.554,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.021,30.0,0.0
1.4221,2026-09-25T14:44:56.565,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.018,30.0,0.0
1.4325,2026-09-25T14:44:56.575,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.018,30.0,0.0
1.4426,2026-09-25T14:44:56.585,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.018,30.0,0.0
1.4527,2026-09-25T14:44:56.595,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.018,30.0,0.0
1.4629,2026-09-25T14:44:56.605,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.018,30.0,0.0
1.473,2026-09-25T14:44:56.615,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.018,30.0,0.0
1.4831,2026-09-25T14:44:56.625,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.018,30.0,0.0
1.4931,2026-09-25T14:44:56.635,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.018,30.0,0.0
1.5033,2026-09-25T14:44:56.646,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.018,30.0,0.0
1.5134,2026-09-25T14:44:56.656,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.018,30.0,0.0
1.5235,2026-09-25T14:44:56.666,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.018,30.0,0.0
1.5337,2026-09-25T14:44:56.676,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.018,30.0,0.0
1.5438,2026-09-25T14:44:56.686,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.018,30.0,0.0
1.5539,2026-09-25T14:44:56.696,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.018,30.0,0.0
1.564,2026-09-25T14:44:56.706,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.016,30.0,0.0
1.5741,2026-09-25T14:44:56.716,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.016,30.0,0.0
1.5842,2026-09-25T14:44:56.727,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.016,30.0,0.0
1.5944,2026-09-25T14:44:56.737,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.016,30.0,0.0
1.6046,2026-09-25T14:44:56.747,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.016,30.0,0.0
1.6147,2026-09-25T14:44:56.757,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.016,30.0,0.0
1.625,2026-09-25T14:44:56.768,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.016,30.0,0.0
1.6357,2026-09-25T14:44:56.778,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.016,30.0,0.0
1.6458,2026-09-25T14:44:56.788,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.016,30.0,0.0
